	BAD LOCATION ADDRESS 10312		
	PO BOX 131576 10309		
	CYPRESS LOOP 10309		
	PRINCESS BAY ST POB 0		
	PO BOX 90171 10309		
	PO BOX 105842 10309		
	PO BOX 9456 10309		
	PO BOX 315 0		
	CORRELL AVENUE 10309		
	PO BOX 25025 10309		
	PO BOX 1000 10309		
1	GUSTAVE L LEVY PL 10128	40.790443	-73.953793
1	GRACIE SQ 10028	40.773538	-73.945558
1	UNION SQ W 10029	40.735319	-73.99165
1	GUSTAVE L LEVY PL 10029	40.790443	-73.953793
1	GUSTAVE L LEVY PL 10029	40.790443	-73.953793
1	GUSTAVE L LEVY PL 10029	40.790443	-73.953793
1	GUSTAVE L LEVY PL 10029	40.790443	-73.953793
1	N MACQUESTEN PKWY 10029		
1	N MACQUESTEN PKWY 10035		
1	CENTRE ST 10037	40.713001	-74.004181
1	STONE PL 10457		
1	PENN PLZ 10025	40.751098	-73.992926
1	UNION SQ W 10025	40.735319	-73.99165
1	DUPONT ST 10025		
1	WATER STREET 10004	40.702444	-74.012742
1	NORTH END AVENUE 10281	40.714082	-74.01673
1	CENTRE ST 10006	40.713001	-74.004181
1	SYMS WAY 10006		
1	WILLIAM ST 10004	40.704827	-74.009792
1	CHASE MANHATTAN PLZ 10005	40.708362	-74.009591
1	LIBERTY PLAZA 10006	40.70943	-74.011102
1	N WACKER DR 10007		
1	PACE PLZ 10038	40.711909	-74.005843
1	PACE PLZ 10038	40.711909	-74.005843
1	STATE STREET PLZ 10004	40.702411	-74.012948
1	BROADWAY 10004	40.704785	-74.014099
1	CENTRE ST 10003	40.713001	-74.004181
1	UNION SQ W 10009	40.735319	-73.99165
1	PENN PLZ 10031	40.751098	-73.992926
1	EAST    2 STREET 10003	40.725465	-73.991879
1	CENTRE ST 10007	40.713001	-74.004181
1	CHATHAM SQUARE 10038	40.713567	-73.99838
1	CENTRE ST 10002	40.713001	-74.004181
1	PENN PLZ 10032	40.751098	-73.992926
1	CENTRE ST 10013	40.713001	-74.004181
1	UNION SQ W 10003	40.735319	-73.99165
1	UNION SQ W 10003	40.735319	-73.99165
1	UNION SQ S 10003	40.733979	-73.989897
1	UNION SQ S 10003	40.733979	-73.989897
1	YORK STREET 10013	40.721085	-74.005754
1	CENTRE ST 10002	40.713001	-74.004181
1	W 85TH ST 10033	40.784797	-73.970256
1	PENN PLZ 10031	40.751098	-73.992926
1	UNION SQ W 10011	40.735319	-73.99165
1	PENN PLZ 10032	40.751098	-73.992926
1	PENN PLZ 10032	40.751098	-73.992926
1	PENN PLZ 10032	40.751098	-73.992926
1	PENN PLZ 10032	40.751098	-73.992926
1	PENN PLZ 10030	40.751098	-73.992926
1	PENN PLZ 10030	40.751098	-73.992926
1	PENN PLZ 10030	40.751098	-73.992926
1	GATEWAY PLZ 10030		
1	UNION SQ W 10014	40.735319	-73.99165
1	MORTON SQUARE 10014	40.731166	-74.009139
1	UNION SQ W 10012	40.735319	-73.99165
1	PENN PLZ 10031	40.751098	-73.992926
1	PENN PLZ 10031	40.751098	-73.992926
1	W 4TH ST 10003	40.728479	-73.994368
1	PENN PLZ 10031	40.751098	-73.992926
1	VAN CORLEAR PL 10031	40.875735	-73.911492
1	PENN PLZ 10031	40.751098	-73.992926
